t,count,cov,wcount,speed,dirx,diry,consist,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,count_sma5,count_res5,count_std5,count_z5,cov_sma5,cov_res5,cov_std5,cov_z5,wcount_sma5,wcount_res5,wcount_std5,wcount_z5,speed_sma5,speed_res5,speed_std5,speed_z5,dirx_sma5,dirx_res5,dirx_std5,dirx_z5,diry_sma5,diry_res5,diry_std5,diry_z5,consist_sma5,consist_res5,consist_std5,consist_z5,count_sma10,count_res10,count_std10,count_z10,cov_sma10,cov_res10,cov_std10,cov_z10,wcount_sma10,wcount_res10,wcount_std10,wcount_z10,speed_sma10,speed_res10,speed_std10,speed_z10,dirx_sma10,dirx_res10,dirx_std10,dirx_z10,diry_sma10,diry_res10,diry_std10,diry_z10,consist_sma10,consist_res10,consist_std10,consist_z10
10.0,86,0.20176053047180176,35.644989013671875,136.63130784018722,0.994111694012695,-0.03757260443138101,0.9948214718111723,0.0,0.0,0.0,1.0,0.0,7.0,20.0,45.0,0.0,3.0,4.0,2.0,0.0,1.0,2.0,1.0,120.8000,-34.8000,26.8459,-1.2963,0.4048,-0.2030,0.1449,-1.4016,45.4239,-9.7790,7.7445,-1.2627,80.8939,55.7374,53.1523,1.0486,0.5507,0.4434,0.6558,0.6761,0.0842,-0.1217,0.1624,-0.7495,0.7835,0.2113,0.2776,0.7613,135.8000,-49.8000,24.3621,-2.0442,0.4200,-0.2182,0.0982,-2.2213,49.6005,-13.9555,7.1616,-1.9486,52.7554,83.8759,46.6424,1.7983,0.2736,0.7205,0.6997,1.0298,-0.0547,0.0172,0.3556,0.0483,0.7662,0.2286,0.2240,1.0207
11.0,86,0.20176053047180176,35.644989013671875,40.269564550315344,-0.8343765486468929,-0.3914279795745727,0.9216290404092815,0.0,0.0,0.0,1.0,0.0,7.0,20.0,45.0,0.0,3.0,4.0,2.0,0.0,1.0,2.0,1.0,108.4000,-22.4000,25.4224,-0.8811,0.3360,-0.1343,0.1429,-0.9395,41.8821,-6.2371,7.2443,-0.8610,80.5253,-40.2557,53.4937,-0.7525,0.1964,-1.0308,0.8459,-1.2186,-0.0400,-0.3514,0.2416,-1.4546,0.7749,0.1467,0.2711,0.5411,130.6000,-44.6000,28.9567,-1.5402,0.3988,-0.1970,0.1202,-1.6395,48.0984,-12.4534,8.3843,-1.4853,53.2818,-13.0122,46.4491,-0.2801,0.2653,-1.0996,0.7136,-1.5410,-0.0395,-0.3519,0.3350,-1.0505,0.7656,0.1560,0.2236,0.6977
12.0,126,0.2425590306520462,45.81468963623047,80.31474506355279,-0.9174182997597051,-0.156265460656629,0.9306316300922813,0.0,0.0,0.0,16.0,10.0,8.0,46.0,34.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,104.0000,22.0000,17.5357,1.2546,0.2754,-0.0329,0.0839,-0.3917,40.3741,5.4406,4.5387,1.1987,80.4197,-0.1049,53.4934,-0.0020,-0.1826,-0.7349,0.8328,-0.8824,-0.1042,-0.0520,0.2147,-0.2423,0.7628,0.1679,0.2602,0.6452,127.7000,-1.7000,27.6649,-0.0614,0.3794,-0.1368,0.1287,-1.0627,46.9279,-1.1133,7.7130,-0.1443,58.8749,21.4399,45.9475,0.4666,0.2412,-1.1586,0.7519,-1.5409,-0.1109,-0.0454,0.2617,-0.1734,0.7710,0.1596,0.2271,0.7027
13.0,126,0.2425590306520462,45.81468963623047,37.74558118328311,-0.044899761876514135,0.7569006578473777,0.7582312275726718,0.0,0.0,0.0,16.0,10.0,8.0,46.0,34.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,107.0000,19.0000,20.1246,0.9441,0.2508,-0.0083,0.0673,-0.1230,41.0605,4.7542,5.1383,0.9252,84.9235,-47.1779,47.2115,-0.9993,-0.2658,0.2209,0.7829,0.2821,0.0068,0.7501,0.4389,1.7089,0.8299,-0.0717,0.1820,-0.3937,124.8000,1.2000,25.9521,0.0462,0.3600,-0.1174,0.1337,-0.8783,45.7575,0.0572,6.7559,0.0085,59.3183,-21.5727,45.6941,-0.4721,0.1528,-0.1977,0.7253,-0.2726,-0.0247,0.7816,0.3794,2.0604,0.7623,-0.0040,0.2256,-0.0179
14.0,116,0.20839346945285797,44.942081451416016,52.31075782497014,0.600906842137856,0.31828552831938006,0.6799961106253748,0.0,0.0,0.0,14.0,2.0,9.0,24.0,48.0,5.0,4.0,7.0,0.0,2.0,1.0,0.0,0.0,108.0000,8.0000,20.4939,0.3904,0.2194,-0.0110,0.0213,-0.5168,41.5723,3.3698,5.4226,0.6214,69.4544,-17.1436,41.1758,-0.4164,-0.0403,0.6412,0.8487,0.7556,0.0980,0.2203,0.4487,0.4910,0.8571,-0.1771,0.1320,-1.3416,121.1000,-5.1000,24.0530,-0.2120,0.3364,-0.1280,0.1379,-0.9281,45.0926,-0.1506,6.4377,-0.0234,63.0374,-10.7266,43.1391,-0.2487,0.1725,0.4284,0.7355,0.5825,0.0398,0.2785,0.3771,0.7385,0.7783,-0.0983,0.2117,-0.4645
15.0,116,0.20839346945285797,44.942081451416016,64.57993417317905,0.6640204799521513,-0.33845951176573713,0.7453039909329524,0.0,0.0,0.0,14.0,2.0,9.0,24.0,48.0,5.0,4.0,7.0,0.0,2.0,1.0,0.0,0.0,114.0000,2.0000,16.4317,0.1217,0.2207,-0.0123,0.0201,-0.6137,43.4317,1.5104,4.3747,0.3453,55.0441,9.5358,17.7097,0.5385,-0.1064,0.7704,0.7559,1.0192,0.0378,-0.3763,0.4897,-0.7683,0.8072,-0.0619,0.1126,-0.5492,117.4000,-1.4000,21.2875,-0.0658,0.3128,-0.1044,0.1375,-0.7588,44.4278,0.5143,6.0220,0.0854,67.9690,-3.3891,39.7572,-0.0852,0.2222,0.4419,0.7517,0.5878,0.0610,-0.3994,0.3448,-1.1584,0.7953,-0.0500,0.2001,-0.2501
16.0,106,0.2342223823070526,42.489131927490234,81.33689062589934,0.7734894926161793,0.07521293585122729,0.7771376846524657,0.0,0.0,0.0,3.0,1.0,1.0,25.0,56.0,7.0,2.0,5.0,3.0,1.0,1.0,1.0,0.0,118.0000,-12.0000,8.3666,-1.4343,0.2272,0.0070,0.0175,0.3992,44.8005,-2.3114,1.3638,-1.6948,63.2576,18.0793,18.6430,0.9698,0.2152,0.5583,0.7093,0.7871,0.1311,-0.0559,0.4280,-0.1306,0.7783,-0.0011,0.0927,-0.0121,113.2000,-7.2000,18.5460,-0.3882,0.2816,-0.0474,0.1118,-0.4240,43.3413,-0.8522,5.1495,-0.1655,71.8914,9.4455,38.8473,0.2431,0.2058,0.5677,0.7360,0.7713,0.0455,0.0297,0.3399,0.0873,0.7766,0.0006,0.1910,0.0029
17.0,106,0.2342223823070526,42.489131927490234,40.262251476926224,0.1971540152293895,0.2568065066157788,0.32375806949212926,0.0,0.0,0.0,3.0,1.0,1.0,25.0,56.0,7.0,2.0,5.0,3.0,1.0,1.0,1.0,0.0,114.0000,-8.0000,8.3666,-0.9562,0.2256,0.0087,0.0160,0.5403,44.1354,-1.6463,1.5445,-1.0659,55.2471,-14.9848,18.0780,-0.8289,0.4381,-0.2410,0.3469,-0.6947,0.2137,0.0431,0.3975,0.1083,0.6569,-0.3331,0.1898,-1.7554,109.0000,-3.0000,13.9841,-0.2145,0.2505,-0.0163,0.0627,-0.2594,42.2548,0.2344,3.7611,0.0623,67.8334,-27.5711,39.9132,-0.6908,0.1278,0.0694,0.6847,0.1013,0.0548,0.2021,0.3447,0.5862,0.7098,-0.3861,0.2218,-1.7405
18.0,78,0.26014548540115356,32.79547882080078,55.94918941572644,0.45164927155865864,-0.042555841364883426,0.45364971523603986,0.0,0.0,0.0,9.0,1.0,1.0,12.0,35.0,2.0,3.0,4.0,5.0,1.0,1.0,2.0,2.0,104.4000,-26.4000,15.5820,-1.6943,0.2291,0.0311,0.0216,1.4355,41.5316,-8.7361,5.0353,-1.7350,58.8878,-2.9386,15.2902,-0.1922,0.5374,-0.0858,0.2230,-0.3847,0.0539,-0.0964,0.2621,-0.3679,0.5960,-0.1423,0.1978,-0.7194,105.7000,-27.7000,17.0232,-1.6272,0.2400,0.0202,0.0485,0.4163,41.2960,-8.5005,4.8025,-1.7700,71.9057,-15.9565,35.8167,-0.4455,0.1358,0.3158,0.6883,0.4588,0.0303,-0.0729,0.3417,-0.2133,0.7129,-0.2593,0.2175,-1.1919
19.0,78,0.26014548540115356,32.79547882080078,38.00721380319892,-0.10346509126987356,0.5068462587127144,0.5172989030362998,0.0,0.0,0.0,9.0,1.0,1.0,12.0,35.0,2.0,3.0,4.0,5.0,1.0,1.0,2.0,2.0,96.8000,-18.8000,17.6409,-1.0657,0.2394,0.0207,0.0217,0.9568,39.1023,-6.3068,5.8437,-1.0792,56.0271,-18.0199,17.9373,-1.0046,0.3966,-0.5000,0.3558,-1.4053,0.0916,0.4153,0.3174,1.3084,0.5634,-0.0461,0.1939,-0.2379,102.4000,-24.4000,18.9690,-1.2863,0.2294,0.0307,0.0228,1.3455,40.3373,-7.5418,5.4718,-1.3783,62.7407,-24.7335,30.7671,-0.8039,0.1781,-0.2816,0.6553,-0.4297,0.0948,0.4121,0.3664,1.1246,0.7102,-0.1929,0.2200,-0.8770
